Date,Close,High,Low,Open,Volume
4/3/2018 19:22,3.93,3.9399,3.93,3.93,2958
4/3/2018 19:23,3.9,3.93,3.89,3.93,15636
4/3/2018 19:24,3.9086,3.91,3.89,3.8999,18313
4/3/2018 19:25,3.95,3.98,3.91,3.91,24575
4/3/2018 19:26,3.96,3.97,3.9436,3.9436,10300
4/3/2018 19:27,3.99,4.01,3.96,3.96,25286
4/3/2018 19:28,4.0148,4.03,3.98,3.99,13820
4/3/2018 19:29,4.0033,4.01,4,4.009,4100
4/3/2018 19:30,3.98,4.02,3.97,4.0001,29646
4/3/2018 19:31,3.965,3.975,3.96,3.975,2400
4/3/2018 19:32,3.98,4,3.9601,3.9601,16405
4/3/2018 19:33,4,4,3.98,3.98,2650
4/3/2018 19:34,4.01,4.04,3.9901,3.9901,17980
4/3/2018 19:35,3.99,4.02,3.99,4.01,6150
4/3/2018 19:36,3.98,4.03,3.98,3.99,34428
4/3/2018 19:37,3.97,3.98,3.96,3.97,2816
4/3/2018 19:38,3.96,3.98,3.96,3.975,7995
4/3/2018 19:39,3.9379,3.965,3.93,3.9601,15862
4/3/2018 19:40,3.9,3.9332,3.89,3.93,35314
4/3/2018 19:41,3.94,3.95,3.9,3.9,18729
4/3/2018 19:42,3.995,3.995,3.94,3.95,22475
4/3/2018 19:43,3.96,3.995,3.95,3.99,29357
4/3/2018 19:44,3.97,3.98,3.97,3.97,5363
4/3/2018 19:45,3.96,3.99,3.96,3.98,5500
4/3/2018 19:46,3.975,3.98,3.95,3.9675,22713
4/3/2018 19:47,3.99,4.0088,3.97,3.9799,23272
4/3/2018 19:48,3.96,3.99,3.96,3.977,11992
4/3/2018 19:49,3.96,3.99,3.96,3.9702,14060
4/3/2018 19:50,3.95,3.9606,3.93,3.96,9042
4/3/2018 19:51,3.91,3.95,3.91,3.93,28075
4/3/2018 19:52,3.92,3.94,3.91,3.91,4131
4/3/2018 19:53,3.91,3.92,3.91,3.92,2300
4/3/2018 19:54,3.92,3.93,3.92,3.93,3000
4/3/2018 19:55,3.91,3.92,3.9,3.92,24447
4/3/2018 19:56,3.89,3.92,3.89,3.915,44489
4/3/2018 19:57,3.82,3.8801,3.82,3.8801,69312
4/3/2018 19:58,3.81,3.845,3.81,3.825,34022
4/3/2018 19:59,3.85,3.87,3.8101,3.8101,11500
4/3/2018 20:00,3.875,3.875,3.85,3.85,12800
4/3/2018 20:01,3.875,3.875,3.87,3.8701,5938
4/3/2018 20:02,3.875,3.88,3.87,3.875,1850
4/3/2018 20:03,3.86,3.875,3.855,3.8706,16742
4/3/2018 20:04,3.83,3.8601,3.81,3.86,11456
4/3/2018 20:05,3.815,3.8328,3.81,3.83,16036
4/3/2018 20:06,3.85,3.85,3.815,3.815,19620
4/3/2018 20:07,3.83,3.85,3.825,3.85,9689
4/3/2018 20:08,3.8658,3.87,3.825,3.825,18656
4/3/2018 20:09,3.8862,3.8951,3.851,3.851,21437
4/3/2018 20:10,3.89,3.89,3.88,3.89,11200
4/3/2018 20:11,3.825,3.89,3.82,3.8835,45653
4/3/2018 20:12,3.85,3.85,3.825,3.825,18129
4/3/2018 20:13,3.845,3.8452,3.84,3.845,1200
4/3/2018 20:14,3.88,3.88,3.84,3.845,7762
4/3/2018 20:15,3.88,3.88,3.875,3.8799,600
4/3/2018 20:16,3.905,3.91,3.87,3.88,19167
4/3/2018 20:17,3.895,3.91,3.89,3.9,6444
4/3/2018 20:18,3.92,3.92,3.9,3.9088,17700
4/3/2018 20:19,3.95,3.95,3.915,3.915,10853
4/3/2018 20:20,3.94,3.9676,3.94,3.9598,10934
4/3/2018 20:21,3.935,3.9401,3.93,3.9401,9700
4/3/2018 20:22,3.92,3.94,3.92,3.935,7700
4/3/2018 20:23,3.915,3.9365,3.915,3.915,8989
4/3/2018 20:24,3.94,3.94,3.9,3.9,12942
4/3/2018 20:25,3.92,3.93,3.92,3.93,2563
4/3/2018 20:26,3.94,3.95,3.92,3.92,3500
4/3/2018 20:27,3.94,3.94,3.93,3.935,3925
4/3/2018 20:28,3.96,3.96,3.95,3.95,3150
4/3/2018 20:29,3.97,3.97,3.95,3.96,7650
4/3/2018 20:30,3.96,3.97,3.96,3.965,18200
4/3/2018 20:31,3.9748,3.98,3.96,3.96,7700
4/3/2018 20:32,3.98,3.99,3.97,3.975,9891
4/3/2018 20:33,4.035,4.039,3.975,3.975,21044
4/3/2018 20:34,4.0357,4.04,4.02,4.0302,9450
4/3/2018 20:35,4.039,4.04,4.03,4.0301,5650
4/3/2018 20:36,4.035,4.04,4.03,4.035,11452
4/3/2018 20:37,4.06,4.07,4.03,4.04,16020
4/3/2018 20:38,4.09,4.09,4.06,4.07,10817
4/3/2018 20:39,4.05,4.1,4.05,4.085,31620
4/3/2018 20:40,4.04,4.06,4.04,4.06,5257
4/3/2018 20:41,4.04,4.0499,4.04,4.0499,554
4/3/2018 20:42,4.04,4.04,4.04,4.04,100
4/3/2018 20:43,4.05,4.05,4.04,4.0475,1800
4/3/2018 20:44,4.07,4.08,4.04,4.05,3278
4/3/2018 20:45,4.08,4.1,4.0626,4.08,17459
4/3/2018 20:46,4.06,4.08,4.06,4.07,1600
4/3/2018 20:47,4.08,4.08,4.05,4.05,5876
4/3/2018 20:48,4.09,4.09,4.0799,4.08,7429
4/3/2018 20:49,4.1,4.11,4.09,4.09,1900
