Date,Open,High,Low,Close,Adj Close,Volume
22-10-2009,555.25,562.5,545.5,552.875,364.741791,923688
23-10-2009,555.75,567.963013,553.25,565.049988,372.773834,461476
26-10-2009,564.5,574.25,563.25,568.437988,375.008942,598936
27-10-2009,563.75,574.5,554.75,561.112,370.175873,595276
28-10-2009,561.112,567,555.25,564.213013,372.221649,340312
29-10-2009,558.599976,560.25,547.75,551.888,364.090607,379964
30-10-2009,564.987,564.987,535.25,551.349976,363.735596,683412
3/11/2009,551.349976,557,531.775024,534.838013,352.842438,451568
4/11/2009,543.013,564.700012,543.013,559.900024,369.376312,582560
5/11/2009,556.263,558.75,539.036987,555.775024,366.654907,8980928
6/11/2009,567.224976,567.224976,548.075012,554.450012,365.780792,433616
9/11/2009,555.75,560,550.138,558.513,368.461273,360676
10/11/2009,562.513,564,550.888,554.549988,365.846893,284048
11/11/2009,556.224976,578.862,552.5,577.174988,380.772919,1029200
12/11/2009,577,587.25,575,580.674988,383.08197,589968
13-11-2009,581.75,592.75,578.275024,589.700012,389.035919,898524
16-11-2009,592.5,593,583.825012,587.687988,387.708557,493524
17-11-2009,586.5,600.75,586.5,599.187988,395.295197,718956
18-11-2009,599.849976,610.375,597,608.400024,401.37265,669888
19-11-2009,604.75,604.75,598.25,602.362,397.389252,307004
20-11-2009,596.25,611.75,595.5,606.875,400.366486,352744
23-11-2009,602.75,605,597.775024,601.888,397.076508,277332
24-11-2009,606,611.25,597.75,606.400024,400.053223,510152
25-11-2009,608,614.474976,600.588013,608.400024,401.37265,362252
26-11-2009,607.5,611.25,591.400024,596.713013,393.662476,345456
27-11-2009,587.5,597.224976,576.775024,582.075012,384.005615,537280
30-11-2009,585.75,598.5,585.25,595.987,393.183533,550348
1/12/2009,599.75,600,588.812012,598.687988,394.965454,278432
2/12/2009,599.5,600.487,589.099976,599.025024,395.187775,346516
3/12/2009,599,602.25,590.775024,594.174988,391.988068,454572
4/12/2009,594.174988,606.174988,592.5,595.638,392.953308,925716
7/12/2009,595,606.312012,593.536987,597.474976,394.165192,659588
8/12/2009,597.474976,611.224976,595,610.025024,402.444702,622600
9/12/2009,607.25,615.75,605.549988,614.036987,405.091492,524712
10/12/2009,617.5,617.5,607.5,611.150024,403.186798,493304
11/12/2009,615.286987,621.737,612.138,613.687988,404.861176,537108
14-12-2009,613.75,629.974976,612,624.5,411.99408,934516
15-12-2009,620,629.5,620,626.638,413.404572,557056
16-12-2009,629,637.474976,621.5,636.200012,419.71283,747520
17-12-2009,636.25,642.987,634,640.338013,422.442688,558292
18-12-2009,639.5,639.5,627.463013,631.625,416.694611,728988
21-12-2009,631.763,636.213013,621.825012,627.099976,413.709259,506972
22-12-2009,628.75,631.75,623.775024,625.388,412.579895,239620
23-12-2009,628.25,647.5,628,645.900024,426.112091,775368
